frequency,Rmax,R_ratio,time
12.0,0.2833720393957333,0.9688998507893205,21:35:08
15.0,0.3187801025249562,0.8752246966187263,21:35:10
15.0,0.32824581404345815,0.8155942657098278,21:35:12
15.0,0.5511483230019955,0.44937071538316037,21:35:14
15.0,0.3163862168906422,0.8638495024778937,21:35:16
15.0,0.5847303343553705,0.41839906872185134,21:35:18
15.0,0.47607548751600687,0.48446489332700937,21:35:20
15.0,0.3770107423812332,0.7634503900349785,21:35:22
15.0,0.4781188617409187,0.6476943009872397,21:35:24
15.0,0.46698766674769576,0.721404308281081,21:35:26
15.0,0.3511634265295974,0.768758454235028,21:35:28
15.0,0.27941855579637465,0.9255061400135902,21:35:30
12.0,0.370521241722819,0.5633119426082133,21:35:32
12.0,0.5059110441418021,0.5280307611475598,21:35:34
12.0,0.46477703414962873,0.650711633129272,21:35:36
12.0,0.28029450480344453,0.8539431197199705,21:35:38
6.0,0.3942192378229229,0.9893948685173577,21:35:40
12.0,0.32701921131307843,0.8365982505099107,21:35:42
12.0,0.39816573585544657,0.7004682265821917,21:35:44
12.0,0.5802050606110096,0.40843641712334855,21:35:46
12.0,0.5958129301962984,0.47220144899460037,21:35:48
12.0,0.4020150935324356,0.6622753759216945,21:35:50
15.0,0.4820795197795788,0.4685773326004215,21:35:52
15.0,0.5986823173306136,0.4657140004298809,21:35:54
20.0,0.3578262789113765,0.8913596611453746,21:35:56
12.0,0.511797185232998,0.48342018298473016,21:35:58
12.0,0.5284621340772662,0.46525890238713236,21:36:00
12.0,0.49418996253310077,0.5771591954934544,21:36:02
12.0,0.41797543821691224,0.5903653421616691,21:36:04
12.0,0.5190543198252817,0.4987036236832265,21:36:06
12.0,0.5195476436659199,0.48418158723815286,21:36:08
12.0,0.3565164414180401,0.7190534906502443,21:36:10
15.0,0.3671085828686974,0.7901948949848563,21:36:12
15.0,0.37688865680628103,0.8226006959025907,21:36:14
15.0,0.3830459751949007,0.7051277997064581,21:36:16
12.0,0.6369162877237026,0.4508810475714579,21:36:18
12.0,0.539345632689935,0.619601001953266,21:36:20
12.0,0.5321013830637331,0.5682075223405155,21:36:22
15.0,0.36090317643549663,0.8645764239167258,21:36:24
8.571428571428571,0.33321973136963584,0.9090140458150888,21:36:26
15.0,0.4095998049419156,0.6543838280266341,21:36:28
15.0,0.49985743491255547,0.5919884385727435,21:36:30
15.0,0.3676584689261668,0.7713283675456367,21:36:32
15.0,0.2676754331725987,0.933681586983953,21:36:34
12.0,0.39576411095591985,0.6746741426130164,21:36:36
12.0,0.6180424408603097,0.4295191410364445,21:36:38
12.0,0.49180629579638696,0.6228781575768905,21:36:40
15.0,0.5588628062461292,0.5172353760436802,21:36:42
15.0,0.41477490069532347,0.707412990470503,21:36:44
10.0,0.27099545322156116,0.9140234639592295,21:36:46
12.0,0.6210664730070223,0.409401085925515,21:36:48
6.0,0.34923305273047023,0.7759092181353459,21:36:50
7.5,0.28940762781715096,0.9854898857040636,21:36:52
7.5,0.2323301004108983,0.8062979736816228,21:36:54
12.0,0.2949180576335877,0.896879169982709,21:36:56
15.0,0.27585673143551426,0.8802305001015264,21:36:58
12.0,0.22823937928007998,0.9755028301788405,21:37:00
6.666666666666667,0.26621840309976846,0.8647768215779432,21:37:02
12.0,0.18571879283607567,0.9748426639787976,21:37:04
7.5,0.24205943235225494,0.8826758882689815,21:37:06
15.0,0.30150548646873254,0.8379366377728009,21:37:08
8.571428571428571,0.3019047377859077,0.7923294472622101,21:37:10
15.0,0.2835416821365694,0.7954655173193536,21:37:12
6.0,0.22738694897004202,0.8772738331546084,21:37:15
6.666666666666667,0.3277958070544889,0.8638114076379757,21:37:17
7.5,0.26178695024838855,0.7773666815082894,21:37:19
10.0,0.316881756693284,0.7729563002506906,21:37:21
10.0,0.5071568280813136,0.5198532266054133,21:37:23
10.0,0.3436951359093424,0.9562153320402276,21:37:25
10.0,0.512362766184362,0.5400127514123323,21:37:27
30.0,0.30074733427866285,0.9192255204733593,21:37:29
12.0,0.42322218989319355,0.7001297864757824,21:37:31
12.0,0.355310626951911,0.721834733219238,21:37:33
10.0,0.2331764246816188,0.9852453415192964,21:37:35
20.0,0.27793282492796767,0.9181803464909626,21:37:37
15.0,0.29272121710713706,0.8718985455205552,21:37:39
10.0,0.507769641550312,0.5040529398129161,21:37:41
10.0,0.5690949163609793,0.5815196182100861,21:37:43
10.0,0.5195462392906033,0.6716435975327423,21:37:45
10.0,0.4813060793709824,0.5183091001675644,21:37:47
20.0,0.3227013129737297,0.7216909973676405,21:37:49
20.0,0.28032800001340435,0.9271536778987063,21:37:51
10.0,0.32725344470971635,0.8476620845240317,21:37:53
20.0,0.376446153732187,0.7937612972397942,21:37:55
6.666666666666667,0.224506414808907,0.9330770974338917,21:37:57
20.0,0.35051143007958363,0.7035944947386344,21:37:59
8.571428571428571,0.347706103009325,0.8792697921461157,21:38:01
12.0,0.3335129002229491,0.8682778799970085,21:38:03
7.5,0.2885970510462634,0.9221262875593926,21:38:05
8.571428571428571,0.2691111165180277,0.7259192505226586,21:38:07
12.0,0.29501408418872593,0.9826410614483531,21:38:09
12.0,0.39457541604797386,0.6917740099668538,21:38:11
20.0,0.2745259813484614,0.9804964745945449,21:38:13
7.5,0.2690833707245483,0.9665473500282085,21:38:15
12.0,0.3519286423857866,0.7297197509528474,21:38:17
15.0,0.2987900957934405,0.9516488579483349,21:38:19
30.0,0.29688357354998857,0.9444438874158732,21:38:21
7.5,0.24605968828675878,0.9872501842561577,21:38:23
6.0,0.23273620281890445,0.9990168734199706,21:38:25
30.0,0.2343047471169535,0.9307677262227169,21:38:27
6.0,0.20639473893823118,0.8776189649592231,21:38:29
